date,health,maximum capacity (mAh),design capacity (mAh),cycles,model
18/08/2020 22.10,101.9261,5186,5088,1,"MacBookPro16,2"
19/08/2020 00.33,102.142296,5197,5088,1,"MacBookPro16,2"
19/08/2020 11.51,102.083336,5194,5088,2,"MacBookPro16,2"
20/08/2020 00.58,101.9654,5188,5088,2,"MacBookPro16,2"
21/08/2020 00.57,103.36084,5259,5088,2,"MacBookPro16,2"
21/08/2020 15.11,102.73192,5227,5088,3,"MacBookPro16,2"
22/08/2020 01.25,103.8915,5286,5088,3,"MacBookPro16,2"
23/08/2020 00.32,102.81054,5231,5088,3,"MacBookPro16,2"
24/08/2020 07.45,102.8695,5234,5088,3,"MacBookPro16,2"
25/08/2020 00.01,102.12264,5196,5088,3,"MacBookPro16,2"
25/08/2020 19.26,102.6533,5223,5088,4,"MacBookPro16,2"
26/08/2020 00.26,102.73192,5227,5088,4,"MacBookPro16,2"
27/08/2020 00.51,101.59198,5169,5088,4,"MacBookPro16,2"
28/08/2020 00.42,101.86714,5183,5088,4,"MacBookPro16,2"
29/08/2020 00.45,101.06132,5142,5088,4,"MacBookPro16,2"
30/08/2020 07.15,101.041664,5141,5088,5,"MacBookPro16,2"
31/08/2020 00.02,100.4717,5112,5088,5,"MacBookPro16,2"
01/09/2020 00.37,100.37342,5107,5088,5,"MacBookPro16,2"
02/09/2020 00.25,99.98035,5087,5088,5,"MacBookPro16,2"
02/09/2020 17.31,100.13758,5095,5088,6,"MacBookPro16,2"
03/09/2020 00.32,100.157234,5096,5088,6,"MacBookPro16,2"
04/09/2020 01.50,99.62657,5069,5088,6,"MacBookPro16,2"
05/09/2020 01.01,99.56761,5066,5088,6,"MacBookPro16,2"
06/09/2020 08.15,99.48899,5062,5088,6,"MacBookPro16,2"
07/09/2020 07.00,99.43003,5059,5088,6,"MacBookPro16,2"
08/09/2020 09.11,99.33176,5054,5088,6,"MacBookPro16,2"
08/09/2020 10.11,99.70519,5073,5088,7,"MacBookPro16,2"
09/09/2020 01.02,99.62657,5069,5088,7,"MacBookPro16,2"
10/09/2020 01.13,100.56996,5117,5088,7,"MacBookPro16,2"
10/09/2020 23.35,99.23349,5049,5088,8,"MacBookPro16,2"
11/09/2020 01.36,99.13522,5044,5088,8,"MacBookPro16,2"
12/09/2020 21.50,98.48664,5011,5088,8,"MacBookPro16,2"
13/09/2020 01.57,100.03931,5090,5088,8,"MacBookPro16,2"
14/09/2020 08.15,98.72248,5023,5088,8,"MacBookPro16,2"
15/09/2020 01.00,99.72484,5074,5088,8,"MacBookPro16,2"
15/09/2020 10.50,98.38836,5006,5088,9,"MacBookPro16,2"
16/09/2020 09.27,98.23113,4998,5088,9,"MacBookPro16,2"
17/09/2020 02.03,98.60456,5017,5088,9,"MacBookPro16,2"
17/09/2020 09.49,99.54796,5065,5088,10,"MacBookPro16,2"
18/09/2020 01.45,98.89937,5032,5088,10,"MacBookPro16,2"
19/09/2020 01.04,98.52594,5013,5088,10,"MacBookPro16,2"
20/09/2020 14.00,98.5456,5014,5088,10,"MacBookPro16,2"
21/09/2020 01.59,98.48664,5011,5088,10,"MacBookPro16,2"
22/09/2020 08.24,98.42767,5008,5088,10,"MacBookPro16,2"
23/09/2020 08.12,98.5456,5014,5088,10,"MacBookPro16,2"
24/09/2020 00.13,98.52594,5013,5088,10,"MacBookPro16,2"
24/09/2020 09.14,98.01494,4987,5088,11,"MacBookPro16,2"
25/09/2020 07.34,96.91431,4931,5088,11,"MacBookPro16,2"
26/09/2020 00.02,97.287735,4950,5088,11,"MacBookPro16,2"
27/09/2020 00.04,98.84041,5029,5088,11,"MacBookPro16,2"
28/09/2020 00.12,97.66116,4969,5088,11,"MacBookPro16,2"
29/09/2020 01.00,97.287735,4950,5088,11,"MacBookPro16,2"
30/09/2020 00.15,97.50393,4961,5088,11,"MacBookPro16,2"
30/09/2020 09.15,97.64151,4968,5088,12,"MacBookPro16,2"
01/10/2020 08.42,97.032234,4937,5088,12,"MacBookPro16,2"
02/10/2020 07.26,96.77673,4924,5088,12,"MacBookPro16,2"
04/10/2020 22.23,96.875,4929,5088,12,"MacBookPro16,2"
05/10/2020 01.05,96.99292,4935,5088,12,"MacBookPro16,2"
06/10/2020 00.30,96.50157,4910,5088,12,"MacBookPro16,2"
07/10/2020 08.21,96.24607,4897,5088,12,"MacBookPro16,2"
07/10/2020 09.21,96.16745,4893,5088,13,"MacBookPro16,2"
08/10/2020 00.00,96.44261,4907,5088,13,"MacBookPro16,2"
09/10/2020 00.19,96.717766,4921,5088,13,"MacBookPro16,2"
10/10/2020 00.38,96.63915,4917,5088,13,"MacBookPro16,2"
11/10/2020 01.07,96.38365,4904,5088,13,"MacBookPro16,2"
11/10/2020 08.00,96.36399,4903,5088,14,"MacBookPro16,2"
12/10/2020 00.10,95.57783,4863,5088,14,"MacBookPro16,2"
13/10/2020 01.55,95.73506,4871,5088,14,"MacBookPro16,2"
14/10/2020 08.48,95.30267,4849,5088,14,"MacBookPro16,2"
15/10/2020 00.50,95.9316,4881,5088,14,"MacBookPro16,2"
16/10/2020 07.42,94.61478,4814,5088,14,"MacBookPro16,2"
17/10/2020 00.55,94.83097,4825,5088,14,"MacBookPro16,2"
18/10/2020 05.45,94.88994,4828,5088,14,"MacBookPro16,2"
18/10/2020 09.15,94.88994,4828,5088,15,"MacBookPro16,2"
19/10/2020 00.02,94.79167,4823,5088,15,"MacBookPro16,2"
20/10/2020 08.32,94.359276,4801,5088,15,"MacBookPro16,2"
21/10/2020 00.57,95.51887,4860,5088,15,"MacBookPro16,2"
22/10/2020 01.17,95.53852,4861,5088,15,"MacBookPro16,2"
23/10/2020 01.15,95.59748,4864,5088,15,"MacBookPro16,2"
23/10/2020 05.16,95.63679,4866,5088,16,"MacBookPro16,2"
24/10/2020 00.43,94.28066,4797,5088,16,"MacBookPro16,2"
25/10/2020 10.00,94.162735,4791,5088,16,"MacBookPro16,2"
26/10/2020 07.00,94.18239,4792,5088,16,"MacBookPro16,2"
27/10/2020 01.32,94.0055,4783,5088,16,"MacBookPro16,2"
28/10/2020 00.44,94.929245,4830,5088,17,"MacBookPro16,2"
29/10/2020 00.56,94.51651,4809,5088,17,"MacBookPro16,2"
30/10/2020 00.35,94.79167,4823,5088,17,"MacBookPro16,2"
30/10/2020 10.37,94.57547,4812,5088,18,"MacBookPro16,2"
31/10/2020 09.02,94.31997,4799,5088,18,"MacBookPro16,2"
01/11/2020 00.57,94.96855,4832,5088,18,"MacBookPro16,2"
01/11/2020 22.00,95.51887,4860,5088,19,"MacBookPro16,2"
02/11/2020 07.30,95.04717,4836,5088,19,"MacBookPro16,2"
03/11/2020 01.05,94.26101,4796,5088,19,"MacBookPro16,2"
04/11/2020 01.49,94.162735,4791,5088,19,"MacBookPro16,2"
05/11/2020 01.06,93.82862,4774,5088,19,"MacBookPro16,2"
06/11/2020 00.36,94.45755,4806,5088,19,"MacBookPro16,2"
06/11/2020 16.33,93.533806,4759,5088,20,"MacBookPro16,2"
07/11/2020 00.58,92.90487,4727,5088,20,"MacBookPro16,2"
08/11/2020 00.00,93.71069,4768,5088,20,"MacBookPro16,2"
09/11/2020 01.47,93.63208,4764,5088,20,"MacBookPro16,2"
09/11/2020 23.52,93.4945,4757,5088,21,"MacBookPro16,2"
10/11/2020 01.53,93.45519,4755,5088,21,"MacBookPro16,2"
11/11/2020 01.14,93.63208,4764,5088,21,"MacBookPro16,2"
12/11/2020 00.37,93.45519,4755,5088,21,"MacBookPro16,2"
13/11/2020 00.59,93.65173,4765,5088,21,"MacBookPro16,2"
14/11/2020 01.17,93.29796,4747,5088,21,"MacBookPro16,2"
15/11/2020 08.45,93.29796,4747,5088,21,"MacBookPro16,2"
16/11/2020 09.25,93.25865,4745,5088,21,"MacBookPro16,2"
16/11/2020 11.25,93.43553,4754,5088,22,"MacBookPro16,2"
17/11/2020 01.45,92.629715,4713,5088,22,"MacBookPro16,2"
17/11/2020 12.30,93.55346,4760,5088,23,"MacBookPro16,2"
18/11/2020 00.36,92.70833,4717,5088,23,"MacBookPro16,2"
19/11/2020 00.39,92.47248,4705,5088,23,"MacBookPro16,2"
20/11/2020 00.26,93.04245,4734,5088,23,"MacBookPro16,2"
21/11/2020 00.18,92.21698,4692,5088,23,"MacBookPro16,2"
22/11/2020 08.45,92.2956,4696,5088,23,"MacBookPro16,2"
23/11/2020 00.15,92.33491,4698,5088,23,"MacBookPro16,2"
24/11/2020 01.45,92.17767,4690,5088,23,"MacBookPro16,2"
25/11/2020 01.21,92.39387,4701,5088,23,"MacBookPro16,2"
25/11/2020 17.43,92.59041,4711,5088,24,"MacBookPro16,2"
26/11/2020 00.00,92.21698,4692,5088,24,"MacBookPro16,2"
27/11/2020 00.07,92.49214,4706,5088,24,"MacBookPro16,2"
28/11/2020 00.59,92.570755,4710,5088,24,"MacBookPro16,2"
29/11/2020 08.45,92.51179,4707,5088,24,"MacBookPro16,2"
30/11/2020 00.15,92.27594,4695,5088,24,"MacBookPro16,2"
30/11/2020 01.28,92.315254,4697,5088,25,"MacBookPro16,2"
01/12/2020 08.38,92.0794,4685,5088,25,"MacBookPro16,2"
02/12/2020 00.38,92.61006,4712,5088,25,"MacBookPro16,2"
03/12/2020 09.17,92.45283,4704,5088,25,"MacBookPro16,2"
04/12/2020 00.18,92.45283,4704,5088,25,"MacBookPro16,2"
05/12/2020 00.56,92.11871,4687,5088,25,"MacBookPro16,2"
06/12/2020 00.00,92.2956,4696,5088,25,"MacBookPro16,2"
07/12/2020 00.01,92.49214,4706,5088,25,"MacBookPro16,2"
07/12/2020 23.30,92.49214,4706,5088,26,"MacBookPro16,2"
08/12/2020 01.30,92.5511,4709,5088,26,"MacBookPro16,2"
09/12/2020 00.33,92.02044,4682,5088,26,"MacBookPro16,2"
10/12/2020 00.57,92.47248,4705,5088,26,"MacBookPro16,2"
11/12/2020 00.44,91.52909,4657,5088,26,"MacBookPro16,2"
12/12/2020 00.35,91.8239,4672,5088,26,"MacBookPro16,2"
13/12/2020 01.16,91.804245,4671,5088,26,"MacBookPro16,2"
14/12/2020 01.36,91.5684,4659,5088,26,"MacBookPro16,2"
14/12/2020 09.00,91.68632,4665,5088,27,"MacBookPro16,2"
15/12/2020 00.34,91.43082,4652,5088,27,"MacBookPro16,2"
16/12/2020 00.27,91.48978,4655,5088,27,"MacBookPro16,2"
16/12/2020 09.05,89.95676,4577,5088,28,"MacBookPro16,2"
17/12/2020 01.30,90.42846,4601,5088,28,"MacBookPro16,2"
18/12/2020 00.18,90.03538,4581,5088,28,"MacBookPro16,2"
19/12/2020 01.56,90.07469,4583,5088,28,"MacBookPro16,2"
19/12/2020 19.33,91.21462,4641,5088,29,"MacBookPro16,2"
20/12/2020 00.33,91.21462,4641,5088,29,"MacBookPro16,2"
21/12/2020 00.05,90.56604,4608,5088,29,"MacBookPro16,2"
22/12/2020 00.57,91.0967,4635,5088,29,"MacBookPro16,2"
23/12/2020 00.31,91.0967,4635,5088,29,"MacBookPro16,2"
23/12/2020 22.15,90.68396,4614,5088,30,"MacBookPro16,2"
24/12/2020 00.34,90.80189,4620,5088,30,"MacBookPro16,2"
25/12/2020 00.41,89.99607,4579,5088,30,"MacBookPro16,2"
26/12/2020 11.00,90.48742,4604,5088,30,"MacBookPro16,2"
27/12/2020 00.11,90.3695,4598,5088,30,"MacBookPro16,2"
28/12/2020 01.31,90.17296,4588,5088,30,"MacBookPro16,2"
29/12/2020 00.40,90.09434,4584,5088,30,"MacBookPro16,2"
30/12/2020 07.30,90.07469,4583,5088,30,"MacBookPro16,2"
31/12/2020 00.18,90.50708,4605,5088,30,"MacBookPro16,2"
01/01/2021 00.40,90.70362,4615,5088,30,"MacBookPro16,2"
01/01/2021 04.27,90.60535,4610,5088,31,"MacBookPro16,2"
02/01/2021 06.15,90.48742,4604,5088,31,"MacBookPro16,2"
04/01/2021 09.12,90.52673,4606,5088,31,"MacBookPro16,2"
05/01/2021 00.41,90.42846,4601,5088,31,"MacBookPro16,2"
06/01/2021 01.01,90.408806,4600,5088,31,"MacBookPro16,2"
06/01/2021 19.00,89.79953,4569,5088,32,"MacBookPro16,2"
07/01/2021 01.01,89.77987,4568,5088,32,"MacBookPro16,2"
08/01/2021 02.07,90.03538,4581,5088,32,"MacBookPro16,2"
09/01/2021 01.26,90.03538,4581,5088,32,"MacBookPro16,2"
10/01/2021 01.33,90.42846,4601,5088,32,"MacBookPro16,2"
10/01/2021 16.07,90.19261,4589,5088,33,"MacBookPro16,2"
11/01/2021 00.00,89.60299,4559,5088,33,"MacBookPro16,2"
12/01/2021 00.00,90.015724,4580,5088,33,"MacBookPro16,2"
13/01/2021 02.01,90.015724,4580,5088,33,"MacBookPro16,2"
13/01/2021 10.21,89.30818,4544,5088,34,"MacBookPro16,2"
14/01/2021 00.56,89.81918,4570,5088,34,"MacBookPro16,2"
15/01/2021 00.06,88.73821,4515,5088,34,"MacBookPro16,2"
15/01/2021 04.12,88.60063,4508,5088,35,"MacBookPro16,2"
16/01/2021 00.04,89.20991,4539,5088,35,"MacBookPro16,2"
17/01/2021 00.06,89.38679,4548,5088,35,"MacBookPro16,2"
18/01/2021 00.40,89.30818,4544,5088,35,"MacBookPro16,2"
18/01/2021 10.36,89.34748,4546,5088,36,"MacBookPro16,2"
19/01/2021 00.31,89.40645,4549,5088,36,"MacBookPro16,2"
20/01/2021 00.28,89.52437,4555,5088,36,"MacBookPro16,2"
21/01/2021 00.30,89.642296,4561,5088,36,"MacBookPro16,2"
22/01/2021 01.39,89.32783,4545,5088,36,"MacBookPro16,2"
23/01/2021 00.00,89.28852,4543,5088,36,"MacBookPro16,2"
23/01/2021 23.32,89.22956,4540,5088,37,"MacBookPro16,2"
24/01/2021 00.43,89.46541,4552,5088,37,"MacBookPro16,2"
25/01/2021 00.59,89.54403,4556,5088,37,"MacBookPro16,2"
26/01/2021 01.30,89.34748,4546,5088,37,"MacBookPro16,2"
27/01/2021 00.46,89.642296,4561,5088,37,"MacBookPro16,2"
28/01/2021 00.03,89.66195,4562,5088,37,"MacBookPro16,2"
28/01/2021 22.47,88.934746,4525,5088,38,"MacBookPro16,2"
29/01/2021 00.48,88.934746,4525,5088,38,"MacBookPro16,2"
30/01/2021 00.05,89.07233,4532,5088,38,"MacBookPro16,2"
31/01/2021 00.32,88.99371,4528,5088,38,"MacBookPro16,2"
01/02/2021 00.00,89.01336,4529,5088,38,"MacBookPro16,2"
02/02/2021 02.04,89.07233,4532,5088,38,"MacBookPro16,2"
03/02/2021 01.13,89.07233,4532,5088,38,"MacBookPro16,2"
04/02/2021 01.15,89.22956,4540,5088,38,"MacBookPro16,2"
04/02/2021 19.55,89.95676,4577,5088,39,"MacBookPro16,2"
05/02/2021 00.25,88.75786,4516,5088,39,"MacBookPro16,2"
06/02/2021 00.52,85.809746,4366,5088,39,"MacBookPro16,2"
07/02/2021 01.16,87.26415,4440,5088,39,"MacBookPro16,2"
08/02/2021 02.01,89.13129,4535,5088,39,"MacBookPro16,2"
09/02/2021 00.46,89.81918,4570,5088,39,"MacBookPro16,2"
10/02/2021 02.04,89.1706,4537,5088,39,"MacBookPro16,2"
11/02/2021 02.02,89.22956,4540,5088,39,"MacBookPro16,2"
11/02/2021 18.35,89.66195,4562,5088,40,"MacBookPro16,2"
12/02/2021 02.03,88.63994,4510,5088,40,"MacBookPro16,2"
13/02/2021 00.15,88.679245,4512,5088,40,"MacBookPro16,2"
14/02/2021 02.03,88.6989,4513,5088,40,"MacBookPro16,2"
14/02/2021 15.14,88.18789,4487,5088,41,"MacBookPro16,2"
15/02/2021 02.03,87.912735,4473,5088,41,"MacBookPro16,2"
16/02/2021 00.00,89.190254,4538,5088,41,"MacBookPro16,2"
17/02/2021 03.45,89.11164,4534,5088,41,"MacBookPro16,2"
17/02/2021 16.10,89.30818,4544,5088,42,"MacBookPro16,2"
18/02/2021 00.17,88.73821,4515,5088,42,"MacBookPro16,2"
19/02/2021 00.28,88.58097,4507,5088,42,"MacBookPro16,2"
20/02/2021 00.06,88.679245,4512,5088,42,"MacBookPro16,2"
21/02/2021 00.58,88.58097,4507,5088,42,"MacBookPro16,2"
22/02/2021 00.38,88.05031,4480,5088,42,"MacBookPro16,2"
22/02/2021 19.47,89.60299,4559,5088,43,"MacBookPro16,2"
23/02/2021 00.01,89.56368,4557,5088,43,"MacBookPro16,2"
24/02/2021 00.00,89.54403,4556,5088,43,"MacBookPro16,2"
25/02/2021 00.01,89.58333,4558,5088,43,"MacBookPro16,2"
26/02/2021 01.46,89.74057,4566,5088,43,"MacBookPro16,2"
27/02/2021 00.22,89.87814,4573,5088,43,"MacBookPro16,2"
28/02/2021 13.30,89.77987,4568,5088,43,"MacBookPro16,2"
01/03/2021 07.30,90.03538,4581,5088,43,"MacBookPro16,2"
02/03/2021 02.03,89.6816,4563,5088,43,"MacBookPro16,2"
02/03/2021 11.29,89.83884,4571,5088,44,"MacBookPro16,2"
03/03/2021 01.49,89.66195,4562,5088,44,"MacBookPro16,2"
04/03/2021 00.32,89.77987,4568,5088,44,"MacBookPro16,2"
05/03/2021 02.06,88.934746,4525,5088,44,"MacBookPro16,2"
08/03/2021 08.00,87.9717,4476,5088,45,"MacBookPro16,2"
09/03/2021 01.18,89.32783,4545,5088,45,"MacBookPro16,2"
10/03/2021 01.10,90.05503,4582,5088,45,"MacBookPro16,2"
11/03/2021 00.01,89.249214,4541,5088,45,"MacBookPro16,2"
12/03/2021 00.30,89.36714,4547,5088,45,"MacBookPro16,2"
13/03/2021 00.43,89.26887,4542,5088,45,"MacBookPro16,2"
14/03/2021 00.02,89.190254,4538,5088,45,"MacBookPro16,2"
15/03/2021 01.59,89.20991,4539,5088,45,"MacBookPro16,2"
16/03/2021 00.28,90.66431,4613,5088,45,"MacBookPro16,2"
17/03/2021 02.04,89.249214,4541,5088,45,"MacBookPro16,2"
18/03/2021 00.21,88.482704,4502,5088,45,"MacBookPro16,2"
19/03/2021 00.32,88.30582,4493,5088,45,"MacBookPro16,2"
19/03/2021 21.49,90.19261,4589,5088,46,"MacBookPro16,2"
20/03/2021 01.49,90.07469,4583,5088,46,"MacBookPro16,2"
21/03/2021 11.04,89.6816,4563,5088,46,"MacBookPro16,2"
22/03/2021 01.51,87.912735,4473,5088,46,"MacBookPro16,2"
23/03/2021 00.45,87.657234,4460,5088,46,"MacBookPro16,2"
24/03/2021 00.30,87.79481,4467,5088,46,"MacBookPro16,2"
25/03/2021 00.47,88.6989,4513,5088,46,"MacBookPro16,2"
26/03/2021 00.47,88.91509,4524,5088,46,"MacBookPro16,2"
27/03/2021 00.30,89.83884,4571,5088,46,"MacBookPro16,2"
27/03/2021 15.47,89.249214,4541,5088,47,"MacBookPro16,2"
28/03/2021 00.09,88.73821,4515,5088,47,"MacBookPro16,2"
29/03/2021 02.16,88.89544,4523,5088,47,"MacBookPro16,2"
29/03/2021 14.42,89.32783,4545,5088,48,"MacBookPro16,2"
30/03/2021 00.00,88.679245,4512,5088,48,"MacBookPro16,2"
31/03/2021 01.01,88.63994,4510,5088,48,"MacBookPro16,2"
01/04/2021 01.32,88.6989,4513,5088,48,"MacBookPro16,2"
01/04/2021 21.51,88.73821,4515,5088,49,"MacBookPro16,2"
02/04/2021 01.51,89.36714,4547,5088,49,"MacBookPro16,2"
05/04/2021 15.32,88.63994,4510,5088,49,"MacBookPro16,2"
06/04/2021 01.05,88.83648,4520,5088,49,"MacBookPro16,2"
07/04/2021 00.38,88.4434,4500,5088,49,"MacBookPro16,2"
08/04/2021 00.36,88.4434,4500,5088,49,"MacBookPro16,2"
09/04/2021 00.37,88.56132,4506,5088,49,"MacBookPro16,2"
10/04/2021 00.43,88.28616,4492,5088,49,"MacBookPro16,2"
11/04/2021 10.30,88.423744,4499,5088,49,"MacBookPro16,2"
12/04/2021 07.00,88.30582,4493,5088,49,"MacBookPro16,2"
13/04/2021 00.10,89.07233,4532,5088,50,"MacBookPro16,2"
14/04/2021 00.21,89.03302,4530,5088,50,"MacBookPro16,2"
15/04/2021 01.02,88.99371,4528,5088,50,"MacBookPro16,2"
16/04/2021 00.15,88.79717,4518,5088,50,"MacBookPro16,2"
17/04/2021 00.37,89.28852,4543,5088,50,"MacBookPro16,2"
18/04/2021 10.30,88.9544,4526,5088,50,"MacBookPro16,2"
19/04/2021 01.15,88.56132,4506,5088,50,"MacBookPro16,2"
19/04/2021 07.16,88.6989,4513,5088,51,"MacBookPro16,2"
20/04/2021 01.26,88.934746,4525,5088,51,"MacBookPro16,2"
21/04/2021 00.03,88.73821,4515,5088,51,"MacBookPro16,2"
22/04/2021 00.04,89.190254,4538,5088,51,"MacBookPro16,2"
23/04/2021 01.54,89.01336,4529,5088,51,"MacBookPro16,2"
24/04/2021 01.43,88.63994,4510,5088,51,"MacBookPro16,2"
25/04/2021 10.30,88.60063,4508,5088,51,"MacBookPro16,2"
26/04/2021 07.39,88.81682,4519,5088,51,"MacBookPro16,2"
27/04/2021 00.17,89.15094,4536,5088,51,"MacBookPro16,2"
28/04/2021 01.11,88.99371,4528,5088,51,"MacBookPro16,2"
29/04/2021 00.22,89.09198,4533,5088,51,"MacBookPro16,2"
30/04/2021 01.02,88.73821,4515,5088,51,"MacBookPro16,2"
01/05/2021 07.30,88.54167,4505,5088,51,"MacBookPro16,2"
02/05/2021 06.30,88.56132,4506,5088,51,"MacBookPro16,2"
03/05/2021 05.30,88.50236,4503,5088,51,"MacBookPro16,2"
03/05/2021 08.30,88.50236,4503,5088,52,"MacBookPro16,2"
04/05/2021 00.31,88.77752,4517,5088,52,"MacBookPro16,2"
05/05/2021 02.02,88.89544,4523,5088,52,"MacBookPro16,2"
06/05/2021 00.42,88.875786,4522,5088,52,"MacBookPro16,2"
07/05/2021 00.40,88.50236,4503,5088,52,"MacBookPro16,2"
08/05/2021 00.42,88.26651,4491,5088,52,"MacBookPro16,2"
09/05/2021 06.00,87.657234,4460,5088,52,"MacBookPro16,2"
10/05/2021 05.00,87.95204,4475,5088,52,"MacBookPro16,2"
10/05/2021 08.26,88.81682,4519,5088,53,"MacBookPro16,2"
11/05/2021 00.00,88.6989,4513,5088,53,"MacBookPro16,2"
12/05/2021 01.14,88.6989,4513,5088,53,"MacBookPro16,2"
13/05/2021 00.02,88.620285,4509,5088,53,"MacBookPro16,2"
14/05/2021 02.20,88.620285,4509,5088,53,"MacBookPro16,2"
15/05/2021 14.27,88.14858,4485,5088,53,"MacBookPro16,2"
15/05/2021 19.47,88.52201,4504,5088,54,"MacBookPro16,2"
17/05/2021 08.26,86.63522,4408,5088,54,"MacBookPro16,2"
18/05/2021 00.59,87.77516,4466,5088,54,"MacBookPro16,2"
19/05/2021 00.02,87.81447,4468,5088,54,"MacBookPro16,2"
20/05/2021 02.02,88.32547,4494,5088,54,"MacBookPro16,2"
21/05/2021 00.15,88.34513,4495,5088,54,"MacBookPro16,2"
22/05/2021 00.50,87.283806,4441,5088,54,"MacBookPro16,2"
23/05/2021 00.18,87.46069,4450,5088,54,"MacBookPro16,2"
24/05/2021 01.42,87.55896,4455,5088,54,"MacBookPro16,2"
24/05/2021 20.12,88.89544,4523,5088,55,"MacBookPro16,2"
25/05/2021 00.01,86.94969,4424,5088,55,"MacBookPro16,2"
26/05/2021 00.55,87.61792,4458,5088,55,"MacBookPro16,2"
27/05/2021 00.46,87.20519,4437,5088,55,"MacBookPro16,2"
28/05/2021 01.47,87.283806,4441,5088,55,"MacBookPro16,2"
29/05/2021 02.03,87.38208,4446,5088,55,"MacBookPro16,2"
30/05/2021 07.15,87.2445,4439,5088,55,"MacBookPro16,2"
31/05/2021 06.15,87.30346,4442,5088,55,"MacBookPro16,2"
31/05/2021 10.10,87.61792,4458,5088,56,"MacBookPro16,2"
01/06/2021 02.03,87.61792,4458,5088,56,"MacBookPro16,2"
02/06/2021 00.56,87.48035,4451,5088,56,"MacBookPro16,2"
03/06/2021 00.24,87.342766,4444,5088,56,"MacBookPro16,2"
04/06/2021 00.00,87.77516,4466,5088,56,"MacBookPro16,2"
05/06/2021 00.20,87.67689,4461,5088,56,"MacBookPro16,2"
06/06/2021 06.15,87.67689,4461,5088,56,"MacBookPro16,2"
07/06/2021 05.15,87.657234,4460,5088,56,"MacBookPro16,2"
08/06/2021 01.12,87.55896,4455,5088,56,"MacBookPro16,2"
09/06/2021 00.50,87.63758,4459,5088,56,"MacBookPro16,2"
09/06/2021 10.12,88.20755,4488,5088,57,"MacBookPro16,2"
10/06/2021 00.18,88.38443,4497,5088,57,"MacBookPro16,2"
11/06/2021 00.01,88.52201,4504,5088,57,"MacBookPro16,2"
11/06/2021 21.57,88.423744,4499,5088,58,"MacBookPro16,2"
12/06/2021 00.06,88.28616,4492,5088,58,"MacBookPro16,2"
13/06/2021 00.30,88.46305,4501,5088,58,"MacBookPro16,2"
14/06/2021 00.15,88.50236,4503,5088,58,"MacBookPro16,2"
15/06/2021 00.23,88.482704,4502,5088,58,"MacBookPro16,2"
16/06/2021 01.35,88.06997,4481,5088,58,"MacBookPro16,2"
17/06/2021 00.47,88.56132,4506,5088,58,"MacBookPro16,2"
18/06/2021 01.45,88.20755,4488,5088,58,"MacBookPro16,2"
20/06/2021 21.41,88.50236,4503,5088,59,"MacBookPro16,2"
21/06/2021 00.58,88.03066,4479,5088,59,"MacBookPro16,2"
22/06/2021 00.22,88.30582,4493,5088,59,"MacBookPro16,2"
23/06/2021 00.02,87.853775,4470,5088,59,"MacBookPro16,2"
23/06/2021 19.29,88.05031,4480,5088,60,"MacBookPro16,2"
24/06/2021 02.03,87.79481,4467,5088,60,"MacBookPro16,2"
25/06/2021 00.19,88.71855,4514,5088,60,"MacBookPro16,2"
26/06/2021 00.41,88.52201,4504,5088,60,"MacBookPro16,2"
27/06/2021 06.45,88.52201,4504,5088,60,"MacBookPro16,2"
28/06/2021 08.58,88.423744,4499,5088,60,"MacBookPro16,2"
29/06/2021 00.14,88.36478,4496,5088,60,"MacBookPro16,2"
30/06/2021 00.16,88.34513,4495,5088,60,"MacBookPro16,2"
30/06/2021 06.16,88.32547,4494,5088,61,"MacBookPro16,2"
01/07/2021 01.36,87.9717,4476,5088,61,"MacBookPro16,2"
02/07/2021 00.15,88.6989,4513,5088,61,"MacBookPro16,2"
03/07/2021 01.00,88.52201,4504,5088,61,"MacBookPro16,2"
04/07/2021 00.43,88.52201,4504,5088,61,"MacBookPro16,2"
05/07/2021 02.12,88.32547,4494,5088,61,"MacBookPro16,2"
06/07/2021 01.03,88.34513,4495,5088,61,"MacBookPro16,2"
07/07/2021 00.00,88.03066,4479,5088,61,"MacBookPro16,2"
08/07/2021 00.01,88.01101,4478,5088,61,"MacBookPro16,2"
09/07/2021 02.01,87.9717,4476,5088,61,"MacBookPro16,2"
10/07/2021 01.05,88.01101,4478,5088,61,"MacBookPro16,2"
11/07/2021 06.15,87.93239,4474,5088,61,"MacBookPro16,2"
12/07/2021 11.33,87.99135,4477,5088,61,"MacBookPro16,2"
12/07/2021 12.33,88.06997,4481,5088,62,"MacBookPro16,2"
13/07/2021 00.50,88.4434,4500,5088,62,"MacBookPro16,2"
14/07/2021 01.45,88.38443,4497,5088,62,"MacBookPro16,2"
15/07/2021 01.00,88.6989,4513,5088,62,"MacBookPro16,2"
16/07/2021 00.00,88.58097,4507,5088,62,"MacBookPro16,2"
17/07/2021 00.46,88.73821,4515,5088,63,"MacBookPro16,2"
18/07/2021 15.30,88.56132,4506,5088,63,"MacBookPro16,2"
19/07/2021 13.37,88.679245,4512,5088,63,"MacBookPro16,2"
20/07/2021 01.56,88.24686,4490,5088,63,"MacBookPro16,2"
21/07/2021 00.00,88.2272,4489,5088,63,"MacBookPro16,2"
22/07/2021 01.30,88.109276,4483,5088,63,"MacBookPro16,2"
23/07/2021 00.41,88.12893,4484,5088,63,"MacBookPro16,2"
